Address,Allocation %
0xc33e3272d29d0cd5a7371a3114080ffdc333e892,0.61813682908%
0x93ab0cd091dc8dd513ebfd11972e64a2ac558552,0.61130830836%
0x4cd6b970f42b41ee58c2e4b7ab99863d5ae52a23,0.38090072194%
0x1af3a225d4d3fe25bc6977010c8e5e0bbf221df1,0.24634811218%
0x8db903c0753dde0e7dfffa8310357a741b3ebeef,0.24486659758%
0xafc68fea4556ce538a27804ae82f7e601df38bfc,0.23922482341%
0x999aadfd2d2bfbf49819776380cef09077333d9c,0.21621940971%
0x0a87d7b1eb7ff9548d4ffbe1d975babb3cfb51ed,0.21604713562%
0x47b7af88f54a2d8c0ea6487224e323d2367b0dd5,0.20339370359%
0xd696eca40f37d770a52d54d2d8befc29cd1248a5,0.18676505760%
0x1605f534bf2b74c7ed30e0f187caa2fcb337de3a,0.18307517315%
0x03666d4a16d23ecc60549868dc399e13649ea342,0.18277326927%
0x0c346e5f0517bbd36ba9582665d3b639545c8957,0.18263740128%
0x12b9bc4da00724a5de6a3572069ec8a78994c481,0.17033663332%
0xf0014697b169518e91edc2a732d273a32d734dc2,0.17018899796%
0xc6224933d89b5a4da888f5be8975bbd1b641fa2c,0.16188730279%
0x0feb107fb92aaf95e725cec4441e0941c5939d53,0.15863740393%
0x6dc0b51ca5b0ee36c3bafb78ca388b65e1860b08,0.15418644874%
0x2972a728ea5f7bc998a25d512a701e3f2a098c09,0.15016457917%
0x722d61b89ee7b0e8623a700a3933a5b58b526d10,0.15011066409%
0xc6eb2b8311f7fe47f9d37d30d505dbf735c0170a,0.14587537803%
0x8f8f2a4b65c2b3ffb0c53a2a474128e4909365b7,0.13713085747%
0x5c391e318b4ef19bff735c6f13f320822dfb9174,0.13690424796%
0x6a3f6d4de1f891e776ac0a1e57d46bbba3b0cada,0.13058839799%
0x177e6dd2f230dd1fec6310c19e8df8feb557624d,0.12697496551%
0xd95f4bc7733d9e94978244c0a27c1815878a59bb,0.12648492867%
0xc1269b5614c6f5cc50affa5e62d403622c6cdb3f,0.12461536041%
0x06a84a5364af1f043b77e10bce2568e94af76d5a,0.12436706628%
0x8176d3d058a568b3ec428105cd994cc4d7acdaca,0.12066783528%
0x2a0e5264b12fa426d83ca37003ef1c32a58d4859,0.12038929478%
0x6ae08ac83fd55d1e39b4261c2a0b7a727f89b009,0.12035881194%
0xe7d80f663f21d73047eeaa5478c1ee342e84e873,0.11637178926%
0x494bfaec977e2b031c063a6d9ba5bd2e500d32dd,0.11620534152%
0xba626027dcdae0343a9a727e00bc2d0f566fe34c,0.11514417753%
0xdaf50e499dcaff47f284833920c02cde439b6e4f,0.11511307695%
0xcb3b366ced5ab2170d2ac72a5a97c4747e9186d8,0.11208208113%
0x32cb9fd13af7635cc90d0713a80188b366a28205,0.10815333158%
0x2d81c7a2ca633703c7f171c460413ee590ff33e4,0.10579511220%
0x0567314c6e66be44b5ef05fda181b9479a528f8d,0.10512194263%
0x03ce7863a2b62f4e227fd98605b79beb32618c76,0.10451540810%
0x92e75352b13bd8b965abf18256e19b1fd4142fa5,0.10404642435%
0x4a395b0efc9907a195c81564c10a985c7e9f6a15,0.10271355899%
0xb71d05cf5cdf7a9b15b20b9aab5e91332c271c96,0.10092066701%
0xbad7482e87d355d1f6298313bf9b045afb8fffc5,0.10029408806%
0x585407f2ca39db92fe3540a07cca2cf7338fb844,0.09983531040%
0xf23070be2eded408cd3963f50d93b22d262445cc,0.09968628120%
0x0fcaac518c2a8eb7bd053143a474aef7773bc79b,0.09968237251%
0x54426307974b659b48e70b1faa44f17aa0e3c4cf,0.09786831861%
0xce2101e27fd0308c05e79bf37dde20eb83b50e18,0.09612911206%
0x428111fdabdcdb727016fca77d376a5b1c0122b2,0.09568654333%
0x3b303063873e20d37f037b76838e613b9c7e42ce,0.09562137067%
0xc40b4c08d763e8daf1090ee4fd0ce9f2db13b501,0.09548717553%
0x63efead726e30174d9e092c86c494523a3acb559,0.09452826858%
0x3f7c10cbbb1ea1046a80b738b9eaf3217410c7f6,0.09272916844%
0xecebc74262e71592ba707af76ebccaeac78aa8b2,0.09145476926%
0x4036daebedb046e32b8fb1a722c4fd26783e6f80,0.09143344997%
0x77e7ac87108c2cc460f27e5c49bff3202b072bed,0.09127108462%
0x193f0ee42a199a0cecd479a9f09ba293eb1ca357,0.09027607292%
0x4059c785dd86a0afc92af9f2d50e1709961c2d39,0.08804928882%
0xae8ec0f2279440c23fa776696198679e4ddce0c7,0.08780441813%
0x8ba61b7536923a08d1522361e990355b125d2a20,0.08750143176%
0xe3b539f1c7120e818b0c5187025954a27151fb20,0.08749743272%
0x94d88a3053c679ce24fcd6dfe23884d91610f327,0.08734230727%
0x403d652bd5781542088f07f5a9ecc28cebd67d1a,0.08732989420%
0xbdfcb3dd2928e1281f62ea4637fd251fb360afd1,0.08732521987%
0xa15d02609039930b56b3e256a208068d7367d0ad,0.08731584085%
0x045c9001f782af21b13fe713cc847b9c6a9f70e2,0.08730550710%
0xf2cabe91ccb244d01626cc4d80e04c06e2031948,0.08723949874%
0xa4c506ab90751492d8e8e954a90b5d6639b0521e,0.08719952641%
0x3157637ba6095049227651dc7f7c110d06e1f497,0.08716392915%
0xe31b76f8aca22b9fc4412d4a59f458b71a74a797,0.08713356747%
0x89d345e4910b201a4780e0bfe286f56adfad7be0,0.08615934246%
0x4e5ed30e3b4eb39abce3c150f31e180a3ae5806e,0.08373316761%
0x93a06ff592adcb6d0eab82a88db52d3329541bb8,0.08372583480%
0xc057474be99cdd42e75ce8ad11a4f86bc4e1218a,0.08297746043%
0xd454ed303748bb5a433388f9508433ba5d507030,0.08224960663%
0xc46bd7db12e07d4b05fc612b920d670ec739cca3,0.08043553881%
0x38b0fb000792568a897638a54a1a10bed7768233,0.07971465785%
0x2b2cd5d0a2b25d9e88d6933601f278012bc95f06,0.07956205828%
0xa60a19fafdc5167de931f807c147cda5ed6d4340,0.07941477525%
0x1ecd67b2a0016d048b9a885cb93c1cb9e76e6009,0.07927670415%
0x6549c9e0f8174494ab1b3e84c708fc292162c8c8,0.07907466794%
0x5697ce38fce437fb0510839047cbe00174923bb2,0.07716280250%
0xe3d293582c5553d681ac953b4b0bf63a1f987464,0.07685220416%
0x1418ecc087ed0b5e1d24e62e7e7ea6a9cc620c2b,0.07661425585%
0x033d815f4fb30b2459a396e004c5a7ecfe30ec39,0.07553837901%
0x94b5ba4b5015d23ed87e9b180a302daef76d3eab,0.07530801805%
0x7149e982c75895bcf70909e1031cb9328622a56a,0.07494597096%
0xf30b420082327c7fbda5ff18f6ccd07ed98ac4a1,0.07488879223%
0x80ce8d2e0e27b138ef6338767fa4a79576e62db6,0.07488137599%
0x6fe7f3bc9a5f94a0a4bb3513ce23c8a2a17fc367,0.07468443730%
0x9c569cc731f22564fbfe6e7cdaa02d90a25a6a63,0.07467487560%
0xba8801a8e9f2ed103e89fd5acd605921bfa1cb62,0.07467425471%
0x2a024cd7204ace0029f727c3fef7d4cf98a703ed,0.07209033160%
0xbb127566a4ed246ee35387e82ffff63249e53a87,0.07204159271%
0xa777c61811c205b1c93fa9bb00831ed4abfa1caa,0.07184866569%
0x78a18ddecda44f7d298d9b37512ed8a7f6b226c7,0.07127723907%
0xfceba6069ddb253aaccb5a1595e1b76bd3acfe05,0.07127028444%
0x727ab153368dd070875093ebd07f15bed97dba07,0.07126874597%
0x0fb20260d3e8b9d3023ca3a5d3423da7c316e6a8,0.07120770350%
0x331ad10258b6c3c0a0515d483698f6ed1758af72,0.07112166387%
0x689912ad701d70ee1b8070a2fcdb9c896f6c043f,0.07100012048%
0x85532659390f6c2e7500f9a28ba9ca26ccf9519d,0.07093138379%
0xdd84ce1adcb3a4908db61a1dfa3353c3974c5a2b,0.07087866361%
0x87cdb4da24aa2349874dc39543ca11a01bd4586c,0.07087516095%
0x99eab5297bcf62c6e3cd0639a44fd4cab0f8cae8,0.07079912523%
0x717787c966332dfed9ce951b6ad2f3710d6102f8,0.07077855763%
0x6d910bea79aaf318e7170c6fb8318d9c466b2164,0.07058739008%
0x34db83aa47dbea2e5e65efaaf963453c0b13e2e8,0.07053941623%
0x8442b3641dd2d9798afd21ef130ac5803d3c8fe2,0.07052916981%
0xca4ad39f872e89ef23eabd5716363fc22513e147,0.06992722009%
0x5333c1d733794e02f34d5f0d88c65d03fd2e4db1,0.06969513840%
0x9b4dd5ae78c4518a5f48e0082d234580b2f6b7ac,0.06867619261%
0xd7839904569399c386bdd8701db017339c6af798,0.06823480373%
0x7453019b806919563eac33870fe5f8e5154fdf38,0.06805539983%
0xb4ee962f90fc1ba210611ea294e28ca3dc719c4f,0.06759002697%
0xf381ac89f1ae4cc2b1e0b2e8696bcaa4923218f0,0.06718664965%
0xd7b1893bdf02bf7edfe8d473b0bc08d74a6e7a35,0.06717423602%
0x8dcdb2db0268cde7b5c55492ef31e4fa3d187ac8,0.06709239132%
0xa849b92e452148cb1e76121c0e60a301019cb5b5,0.06703627848%
0x4f1dd461272f2cb88e169c863e1fde29769869ae,0.06677582097%
0x4f49c34759b7e888ce77de9dd34fec63d63495cc,0.06675909404%
0xf0a4cd57ac7e75b92d8b23881e99d73b24946bd4,0.06662134474%
0x629b4c88c5c2cf893800bd6b0424b24c2dcc3367,0.06659655451%
0x3975dd7e5680087c69e273e592e57067eb0d0922,0.06658827075%
0xb2df35bd65f6443e337f00101b8aefd707fb49dd,0.06655977857%
0x108cf8c873c154e17681fa49b5176a77ca992021,0.06655055775%
0xe6da940b94d158690b06f717be19ac7626ee050c,0.06653282893%
0xd98942f2d07890591dc7aaf78a2c05b2355839bb,0.06652936718%
